ecosystem,package_name,package_version,popularity_tier,source,repository_url,repository_full_name,license_spdx_id
github,josegonzalez/real-aws-status,repository-snapshot,low,github-search:small-dormant,https://github.com/josegonzalez/real-aws-status,josegonzalez/real-aws-status,MIT
github,mathiasbynens/regenerate,repository-snapshot,medium,github-search:small-dormant,https://github.com/mathiasbynens/regenerate,mathiasbynens/regenerate,MIT
github,rllola/zeroTube,repository-snapshot,low,github-search:small-dormant,https://github.com/rllola/zeroTube,rllola/zeroTube,WTFPL
github,desandro/get-size,repository-snapshot,low,github-search:small-dormant,https://github.com/desandro/get-size,desandro/get-size,MIT
github,richard1015/cesium-navigation-es6,repository-snapshot,low,github-search:small-dormant,https://github.com/richard1015/cesium-navigation-es6,richard1015/cesium-navigation-es6,MIT
github,ChavaScript/chavascript,repository-snapshot,medium,github-search:small-dormant,https://github.com/ChavaScript/chavascript,ChavaScript/chavascript,MIT
github,cedricpinson/osgjs,repository-snapshot,medium,github-search:small-archived,https://github.com/cedricpinson/osgjs,cedricpinson/osgjs,MIT
github,adgsm/multi-level-push-menu,repository-snapshot,medium,github-search:small-archived,https://github.com/adgsm/multi-level-push-menu,adgsm/multi-level-push-menu,NOASSERTION
github,marioparaschiv/nitro-sniper,repository-snapshot,medium,github-search:small-archived,https://github.com/marioparaschiv/nitro-sniper,marioparaschiv/nitro-sniper,NOASSERTION
github,Just-Moh-it/Pckd,repository-snapshot,medium,github-search:small-archived,https://github.com/Just-Moh-it/Pckd,Just-Moh-it/Pckd,MIT
github,nilbus/Backbone.dualStorage,repository-snapshot,medium,github-search:small-archived,https://github.com/nilbus/Backbone.dualStorage,nilbus/Backbone.dualStorage,NOASSERTION
github,facebookarchive/react-page,repository-snapshot,medium,github-search:small-archived,https://github.com/facebookarchive/react-page,facebookarchive/react-page,Apache-2.0
github,Ebookcoin/ebookcoin,repository-snapshot,medium,github-search:small-archived,https://github.com/Ebookcoin/ebookcoin,Ebookcoin/ebookcoin,NOASSERTION
github,gaearon/suspense-experimental-github-demo,repository-snapshot,medium,github-search:small-archived,https://github.com/gaearon/suspense-experimental-github-demo,gaearon/suspense-experimental-github-demo,MIT
github,timjansen/minified.js,repository-snapshot,medium,github-search:small-archived,https://github.com/timjansen/minified.js,timjansen/minified.js,NOASSERTION
github,OpenBuildings/layout-grid,repository-snapshot,medium,github-search:small-archived,https://github.com/OpenBuildings/layout-grid,OpenBuildings/layout-grid,BSD-3-Clause
github,mattlewis92/angular-bootstrap-calendar,repository-snapshot,medium,github-search:small-archived,https://github.com/mattlewis92/angular-bootstrap-calendar,mattlewis92/angular-bootstrap-calendar,MIT
